depth, intersect time, compact time, live rays
0, 345.800403, 189.747829, 19897834.300000
1, 529.565765, 152.956438, 16707276.450000
2, 609.487291, 129.201187, 14613067.300000
3, 549.965330, 114.281574, 12999635.500000
4, 490.922901, 102.845467, 11703350.400000
5, 442.483781, 95.139066, 10599731.200000
6, 400.311603, 86.168085, 9632819.550000
7, 363.525166, 79.759112, 8802539.850000
8, 331.648603, 73.327230, 8089032.300000
9, 304.331611, 68.235384, 7476352.100000
10, 280.627125, 64.967070, 6950144.350000
11, 259.992184, 60.099235, 6497065.800000
12, 242.463538, 56.711714, 6106920.000000
13, 226.842378, 54.055035, 5771159.800000
14, 213.753557, 51.672931, 5481962.900000
15, 201.839717, 49.385086, 5232776.700000
16, 191.812510, 48.190931, 5018265.850000
17, 182.690216, 46.272653, 4833342.300000
18, 174.978714, 44.708288, 4674002.200000
19, 167.555973, 43.778882, 4536869.200000
