depth, intersect time, compact time, live rays
0, 341.451573, 187.349198, 22295665.100000
1, 577.788365, 171.915840, 21073667.550000
2, 757.940115, 163.176550, 20042483.850000
3, 748.609648, 155.296664, 19101163.400000
4, 716.478890, 148.447958, 18251173.200000
5, 685.297691, 142.388541, 17450940.350000
6, 654.695621, 139.736960, 16698033.700000
7, 625.858744, 131.412699, 16000819.400000
8, 599.039610, 126.623470, 15353532.000000
9, 574.084730, 122.144446, 14754392.100000
10, 550.841923, 117.496136, 14199073.400000
11, 529.306848, 113.138051, 13684324.750000
12, 509.172219, 111.220418, 13207539.050000
13, 490.538938, 108.044994, 12765722.050000
14, 473.163277, 103.447816, 12356251.200000
15, 457.012182, 100.033979, 11976919.750000
16, 442.021307, 97.509286, 11625292.300000
17, 428.016280, 96.487483, 11299162.500000
18, 415.022643, 93.688958, 10997156.900000
19, 402.824374, 90.375819, 10717016.350000
