closed_large_light,,,,,open_normal_light,,,,closed_normal_light,,,,open_large_light,,
depth, intersect time, compact time, live rays,, intersect time, compact time, live rays,, intersect time, compact time, live rays,, intersect time, compact time, live rays
0,345.800403,189.747829,19897834.3,,321.827611,187.470373,22295665.1,,341.451573,187.349198,22295665.1,,326.121173,189.439352,19897834.3
1,529.565765,152.956438,16707276.45,,539.348014,171.815978,21073667.55,,577.788365,171.91584,21073667.55,,493.918203,152.817949,16700869.4
2,609.487291,129.201187,14613067.3,,698.956558,163.209166,20258325.95,,757.940115,163.17655,20042483.85,,561.195614,129.698146,15105646.5
3,549.96533,114.281574,12999635.5,,693.614968,157.687426,19625465.4,,748.609648,155.296664,19101163.4,,520.453974,118.460275,14109440.55
4,490.922901,102.845467,11703350.4,,671.118381,156.322078,19137437.4,,716.47889,148.447958,18251173.2,,484.640242,112.227219,13411261.95
5,442.483781,95.139066,10599731.2,,650.772909,149.717387,18734072.8,,685.297691,142.388541,17450940.35,,457.636886,109.741205,12877754.7
6,400.311603,86.168085,9632819.55,,630.996971,147.008677,18407284.7,,654.695621,139.73696,16698033.7,,434.335299,104.605821,12464791.6
7,363.525166,79.759112,8802539.85,,613.478269,144.584114,18141562.8,,625.858744,131.412699,16000819.4,,415.116077,100.721365,12146284.45
8,331.648603,73.32723,8089032.3,,597.796347,142.691667,17924233.25,,599.03961,126.62347,15353532,,398.95804,98.827733,11896261.6
9,304.331611,68.235384,7476352.1,,583.312814,144.71056,17747329,,574.08473,122.144446,14754392.1,,384.887147,96.522168,11701153.55
10,280.627125,64.96707,6950144.35,,569.883739,143.10759,17602663.7,,550.841923,117.496136,14199073.4,,372.452221,96.673582,11548263.9
11,259.992184,60.099235,6497065.8,,557.733853,141.509837,17484163.15,,529.306848,113.138051,13684324.75,,361.614296,95.543125,11427930.05
12,242.463538,56.711714,6106920,,546.404706,141.486603,17387409.15,,509.172219,111.220418,13207539.05,,351.999534,93.622739,11333546.3
13,226.842378,54.055035,5771159.8,,536.099158,137.25569,17308048.7,,490.538938,108.044994,12765722.05,,343.568882,95.202354,11259161.6
14,213.753557,51.672931,5481962.9,,526.628053,139.441278,17242923,,473.163277,103.447816,12356251.2,,336.129792,91.974805,11200528.25
15,201.839717,49.385086,5232776.7,,517.876706,138.754517,17189512.65,,457.012182,100.033979,11976919.75,,329.557808,93.229733,11154358.1
16,191.81251,48.190931,5018265.85,,509.901947,135.876298,17145690.6,,442.021307,97.509286,11625292.3,,323.716411,92.644141,11117986.5
17,182.690216,46.272653,4833342.3,,502.733434,135.52219,17109728.8,,428.01628,96.487483,11299162.5,,318.644968,93.277054,11089350.45
18,174.978714,44.708288,4674002.2,,496.201093,135.482453,17080189.4,,415.022643,93.688958,10997156.9,,314.160418,92.12488,11066793.05
19,167.555973,43.778882,4536869.2,,490.231574,136.313997,17055949.65,,402.824374,90.375819,10717016.35,,310.147522,92.29451,11049021.05
