depth, intersect time, compact time, live rays
0, 326.121173, 189.439352, 19897834.300000
1, 493.918203, 152.817949, 16700869.400000
2, 561.195614, 129.698146, 15105646.500000
3, 520.453974, 118.460275, 14109440.550000
4, 484.640242, 112.227219, 13411261.950000
5, 457.636886, 109.741205, 12877754.700000
6, 434.335299, 104.605821, 12464791.600000
7, 415.116077, 100.721365, 12146284.450000
8, 398.958040, 98.827733, 11896261.600000
9, 384.887147, 96.522168, 11701153.550000
10, 372.452221, 96.673582, 11548263.900000
11, 361.614296, 95.543125, 11427930.050000
12, 351.999534, 93.622739, 11333546.300000
13, 343.568882, 95.202354, 11259161.600000
14, 336.129792, 91.974805, 11200528.250000
15, 329.557808, 93.229733, 11154358.100000
16, 323.716411, 92.644141, 11117986.500000
17, 318.644968, 93.277054, 11089350.450000
18, 314.160418, 92.124880, 11066793.050000
19, 310.147522, 92.294510, 11049021.050000
