depth, intersect time, compact time, live rays
0, 321.827611, 187.470373, 22295665.100000
1, 539.348014, 171.815978, 21073667.550000
2, 698.956558, 163.209166, 20258325.950000
3, 693.614968, 157.687426, 19625465.400000
4, 671.118381, 156.322078, 19137437.400000
5, 650.772909, 149.717387, 18734072.800000
6, 630.996971, 147.008677, 18407284.700000
7, 613.478269, 144.584114, 18141562.800000
8, 597.796347, 142.691667, 17924233.250000
9, 583.312814, 144.710560, 17747329.000000
10, 569.883739, 143.107590, 17602663.700000
11, 557.733853, 141.509837, 17484163.150000
12, 546.404706, 141.486603, 17387409.150000
13, 536.099158, 137.255690, 17308048.700000
14, 526.628053, 139.441278, 17242923.000000
15, 517.876706, 138.754517, 17189512.650000
16, 509.901947, 135.876298, 17145690.600000
17, 502.733434, 135.522190, 17109728.800000
18, 496.201093, 135.482453, 17080189.400000
19, 490.231574, 136.313997, 17055949.650000
